released,colour,year,age,sex,employed,citizen,checks
1,1,2002,21,1,1,1,3
0,0,1999,17,1,1,1,3
1,1,2000,24,1,1,1,3
0,0,2000,46,1,1,1,1
1,0,1999,27,0,1,1,1
1,0,1998,16,0,1,1,0
1,1,1999,40,1,0,1,0
1,1,1998,34,0,1,1,1
1,0,2000,23,1,1,1,4
1,1,2001,30,1,1,1,3
1,1,1999,18,1,1,0,0
1,1,2000,18,1,1,1,3
1,1,2000,17,1,1,1,1
1,0,1997,42,1,1,1,0
1,0,1999,26,1,0,1,2
1,1,2001,25,1,0,1,3
0,1,2001,45,1,0,1,4
0,1,2002,20,1,1,1,5
1,1,2001,32,0,0,1,3
0,1,1998,14,1,1,1,0
1,1,1998,18,1,1,0,0
1,1,2001,15,1,0,1,2
1,1,2001,16,1,1,1,0
0,1,2000,27,0,0,1,3
1,1,2000,49,1,1,1,0
1,1,2001,21,1,0,1,3
1,0,2001,29,1,1,1,3
1,1,2000,28,1,1,0,0
1,1,2000,19,1,0,1,0
1,1,1999,28,1,1,1,3
1,1,2000,19,0,1,1,0
1,1,2001,30,1,1,0,3
0,1,2001,15,1,0,1,2
0,1,1999,35,1,1,1,3
1,1,1998,20,0,1,1,0
1,1,2001,22,1,1,1,0
1,1,1998,16,1,0,0,0
1,1,2000,24,1,1,1,1
0,0,2000,21,1,0,0,4
0,1,1998,17,1,1,0,0
1,1,2001,27,1,0,1,2
1,0,2001,18,1,1,1,1
1,1,1997,39,1,1,1,1
1,1,2001,17,1,1,1,0
1,1,2001,22,1,1,1,0
0,1,1997,21,1,1,0,1
1,1,2000,20,1,1,1,0
1,1,1999,17,1,1,1,4
1,1,1997,26,0,1,1,0
0,0,2001,26,1,1,1,4
1,0,2000,20,1,1,1,3
1,0,2000,21,1,1,0,3
1,1,1997,18,1,1,1,4
1,1,2000,17,0,1,1,0
1,1,2001,19,1,1,0,3
1,1,2000,18,1,1,1,0
1,1,2001,42,1,1,1,3
1,0,2001,19,1,0,1,3
1,1,1998,25,1,1,1,0
1,1,2000,17,1,1,1,1
1,0,2002,21,1,1,1,1
1,1,1997,53,1,1,0,3
1,0,2000,19,1,1,1,4
0,0,1999,40,1,1,0,2
1,1,2000,30,1,0,0,3
1,1,1998,21,1,1,1,0
0,1,1998,17,1,1,1,1
1,1,1999,19,1,1,1,0
0,0,2000,19,1,1,1,4
1,0,1997,30,0,1,1,2
1,1,1998,15,0,1,1,0
1,1,2000,16,0,1,1,1
1,0,2000,17,1,1,1,1
1,1,1999,23,0,1,1,0
0,0,2000,18,1,0,1,3
1,1,2001,16,0,1,1,0
0,0,2000,22,1,0,1,5
1,1,1998,40,1,0,1,3
0,1,1997,44,1,1,0,0
1,1,1998,16,1,1,1,0
1,1,1998,14,1,1,1,0
1,0,1999,18,1,1,1,4
1,1,1999,30,1,1,1,2
0,1,1999,22,1,0,1,5
1,0,2001,29,1,0,0,2
0,1,1998,15,1,1,1,0
1,1,2001,22,1,1,1,3
1,1,2001,33,1,1,1,2
1,1,2001,22,1,1,1,0
1,0,2001,22,1,1,1,4
1,1,2001,44,1,1,1,2
1,1,1999,19,1,1,1,4
1,0,1998,24,1,0,1,3
1,1,2001,15,1,1,1,0
0,1,1997,17,1,0,0,4
1,1,1999,22,1,1,1,0
1,0,2001,48,1,1,1,3
1,1,2001,15,1,1,1,0
0,1,2001,20,1,1,1,0
1,1,1997,21,1,1,1,3
1,1,1999,33,1,1,1,0
1,1,1999,22,1,1,1,2
0,1,2001,25,1,1,0,2
1,1,2001,21,1,1,1,0
1,1,2001,22,1,1,1,0
1,1,2001,27,1,1,1,0
1,1,2002,17,1,1,1,1
1,1,2001,17,1,1,1,2
1,1,2001,18,1,1,1,3
0,1,1999,17,1,1,1,2
0,1,2000,20,1,0,1,4
1,1,1999,21,1,1,1,0
1,1,1997,17,1,1,1,0
1,0,2000,30,1,1,1,1
1,1,2001,36,0,0,1,3
1,1,1999,16,1,1,1,2
0,1,1997,19,1,1,0,0
1,1,2000,19,1,1,1,0
1,1,2001,40,1,1,1,3
1,1,2000,23,1,1,1,0
1,0,2000,19,1,1,1,3
1,1,1998,21,1,1,1,0
1,0,1998,38,1,1,1,3
1,0,2000,25,1,1,1,0
1,1,1999,19,1,1,1,4
1,1,2000,17,0,1,1,0
1,1,1999,24,1,1,1,1
1,1,1999,15,1,1,1,0
1,1,1998,22,1,1,1,3
1,0,2001,20,1,1,1,1
0,0,1999,29,0,0,0,4
0,0,2001,22,1,1,1,3
1,1,2001,38,0,0,1,3
1,1,1999,17,0,1,1,0
1,1,2000,18,0,1,1,0
1,1,1997,21,1,1,0,3
0,1,2001,21,1,1,0,4
1,1,1999,31,1,1,1,1
1,0,2001,20,1,1,1,1
1,1,1999,18,1,1,1,0
1,1,1997,24,1,0,0,0
1,0,2001,18,1,1,1,2
1,0,2001,35,1,1,1,2
1,1,1999,21,1,1,1,1
1,1,2000,20,1,1,1,1
1,1,1999,17,1,1,1,2
1,0,2000,24,0,1,1,0
1,1,1998,41,1,1,1,2
1,1,1999,15,1,1,1,1
0,0,2000,19,1,1,1,3
1,0,2000,15,1,1,1,2
1,1,2000,26,1,1,1,0
1,1,1998,23,1,1,1,0
1,1,1998,28,1,1,1,1
0,1,2002,17,1,0,1,0
0,1,1999,39,1,0,1,4
1,1,1999,26,1,1,1,4
1,1,2002,19,1,1,1,1
1,1,2001,18,1,1,1,0
1,1,1998,18,1,1,1,0
1,1,1999,19,1,1,0,0
1,1,2000,18,0,1,1,0
1,1,1999,19,1,1,1,3
1,1,1999,20,1,0,1,4
1,1,2001,19,1,1,1,2
0,0,1997,21,1,0,0,2
0,0,1997,21,1,0,0,2
0,0,1998,18,1,0,1,3
1,1,1998,20,1,1,1,3
1,1,2000,31,1,1,1,3
1,1,1997,18,1,1,0,4
1,1,1997,21,1,0,0,4
0,1,2001,37,1,1,0,0
1,1,1999,20,1,0,1,3
1,0,2001,34,1,1,1,2
1,1,1999,22,1,1,1,0
1,1,1999,15,1,1,1,4
0,1,1999,24,1,1,1,3
0,1,1999,32,1,1,1,4
1,1,2000,22,1,1,1,1
1,1,1997,14,0,1,1,1
1,1,2000,17,1,1,1,5
1,0,1998,27,1,1,0,0
1,1,2002,24,1,1,1,1
1,0,2000,31,1,1,1,0
1,1,1998,20,1,0,1,1
1,1,2001,16,1,1,1,0
1,1,2001,21,1,1,1,1
1,1,2000,22,1,1,1,1
1,1,2001,12,1,1,1,0
1,1,1999,22,1,1,1,0
1,1,1999,23,1,1,1,0
0,1,1999,21,1,0,1,1
0,0,2001,15,1,1,1,5
1,0,2001,20,1,0,1,3
1,1,2000,16,1,1,1,0
1,1,1999,24,1,1,0,0
1,0,1997,18,1,1,0,4
0,1,1999,37,0,0,1,2
1,1,2000,17,1,1,1,1
1,1,1998,21,1,1,1,2
1,0,2000,22,1,1,1,3
0,1,1997,17,1,0,1,2
1,0,2001,21,1,1,0,0
1,1,1998,20,1,1,1,0
1,1,1999,17,1,1,1,2
1,1,1998,36,0,1,1,4
1,1,2000,19,1,1,1,0
1,0,2001,17,1,0,1,1
1,1,2001,18,1,1,1,0
1,1,1998,24,1,1,1,0
1,1,1999,23,1,1,1,0
1,1,1999,23,1,1,1,0
1,1,1997,24,1,0,1,5
1,1,1998,18,1,1,1,1
1,1,1998,22,1,1,1,3
1,1,1999,23,1,1,1,4
1,1,2000,24,1,1,1,0
1,1,2000,35,1,1,1,3
1,0,2000,24,0,1,1,2
1,1,1998,26,1,1,1,3
1,1,2001,25,1,1,1,0
1,1,1999,25,1,1,1,1
1,0,2001,19,1,0,1,5
1,1,2001,21,1,0,1,1
0,1,1998,15,1,1,1,3
